id,date,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,player_of_the_match,most_runs,most_wkts
24,10/04/2024,Rajasthan,Gujarat,Gujarat,Field,196,3,199,7,Gujarat,Rashid Khan,Riyan Parag,Kuldeep Sen
25,11/04/2024,Bangalore,Mumbai,Mumbai,Field,196,8,199,3,Mumbai,Jasprit Bumrah,Ishan Kishan,Jasprit Bumrah
26,12/04/2024,Lucknow,Delhi,Lucknow,Bat,167,7,170,4,Delhi,Kuldeep Yadav,Ayush Badoni,Kuldeep Yadav
27,13/04/2024,Punjab,Rajasthan,Rajasthan,Field,147,8,152,7,Rajasthan,Shimron Hetmyer,Yashasvi Jaiswal ,Kagiso Rabada
28,14/04/2024,Lucknow,Kolkata,Kolkata,Field,161,7,162,2,Kolkata,Phil Salt,Phil Salt,Mitchell Starc
29,14/04/2024,Chennai,Mumbai,Mumbai,Field,206,4,186,6,Chennai,Matheesha Pathirana,Rohit Sharma,Matheesha Pathirana
30,15/04/2024,Hyderabad,Bangalore,Bangalore,Field,187,3,262,7,Hyderabad,Travis Head,Travis Head,Pat Cummins
31,16/04/2024,Kolkata,Rajasthan,Rajasthan,Field,223,6,224,8,Rajasthan,Jos Buttler,Sunil Narine ,Sunil Narine 
32,17/04/2024,Gujarat,Delhi,Delhi,Field,89,10,92,4,Delhi,Rishabh Pant,Rashid Khan ,Mukesh Kumar
33,18/04/2024,Mumbai,Punjab,Punjab,Field,192,7,183,10,Mumbai,Jasprit Bumrah,Suryakumar Yadav,Jasprit Bumrah
34,19/04/2024,Chennai,Lucknow,Lucknow,Field,176,6,180,2,Lucknow,KL Rahul,KL Rahul,Krunal Pandya
35,20/04/2024,Hyderabad,Delhi,Delhi,Field,266,7,199,10,Hyderabad,Travis Head,Travis Head,T Natarajan
36,21/04/2024,Kolkata,Bangalore,Bangalore,Field,222,6,221,10,Kolkata,Andre Russell,Will Jacks ,Andre Russell
37,21/04/2024,Punjab,Gujarat,Punjab,Bat,142,10,146,7,Gujarat,Sai Kishore,Rahul Tewatia,Sai Kishore
38,22/04/2024,Mumbai,Rajasthan,Mumbai,Bat,179,9,183,1,Rajasthan,Sandeep Sharma,Yashasvi Jaiswal ,Sandeep Sharma
39,23/04/2024,Chennai,Lucknow,Lucknow,Field,210,4,213,4,Lucknow,Marcus Stoinis,Marcus Stoinis,Matheesha Pathirana
40,24/04/2024,Delhi,Gujarat,Gujarat,Field,224,4,220,8,Delhi,Rishabh Pant,Rishabh Pant,Sandeep Warrier
41,25/04/2024,Bangalore,Hyderabad,Bangalore,Bat,206,7,171,8,Bangalore,Rajat Patidar,Virat Kohli,Jaydev Unadkat
42,26/04/2024,Kolkata,Punjab,Punjab,Field,261,6,262,2,Punjab,Jonny Bairstow,Jonny Bairstow,Arshdeep Singh
43,27/04/2024,Delhi,Mumbai,Mumbai,Field,257,4,247,9,Delhi,Jake Fraser-McGurk,Jake Fraser-McGurk,Rasikh Salam
44,27/04/2024,Lucknow,Rajasthan,Rajasthan,Field,196,5,199,3,Rajasthan,Sanju Samson,KL Rahul,Sandeep Sharma
45,28/04/2024,Gujarat,Bangalore,Bangalore,Field,200,3,206,1,Bangalore,Will Jacks,Will Jacks,Swapnil Singh
46,28/04/2024,Chennai,Hyderabad,Hyderabad,Field,212,3,134,10,Chennai,Ruturaj Gaikwad,Ruturaj Gaikwad,Tushar Deshpande
47,29/04/2024,Delhi,Kolkata,Delhi,Bat,153,9,157,3,Kolkata,Varun Chakravarthy,Phil Salt,Varun Chakravarthy
48,30/04/2024,Mumbai,Lucknow,Lucknow,Field,144,7,145,6,Lucknow,Marcus Stoinis,Marcus Stoinis,Hardik Pandya
49,01/05/2024,Chennai,Punjab,Punjab,Field,162,7,163,3,Punjab,Harpreet Brar,Ruturaj Gaikwad,Rahul Chahar
50,02/05/2024,Hyderabad,Rajasthan,Hyderabad,Bat,201,3,200,7,Hyderabad,Bhuvneshwar Kumar,Riyan Parag ,Bhuvneshwar Kumar
51,03/05/2024,Kolkata,Mumbai,Mumbai,Field,169,10,145,10,Kolkata,Venkatesh Iyer,Venkatesh Iyer,Mitchell Starc
52,04/05/2024,Gujarat,Bangalore,Bangalore,Field,147,10,152,6,Bangalore,Mohammed Siraj,Faf du Plessis,Josh Little
53,05/05/2024,Chennai,Punjab,Punjab,Field,167,9,139,9,Chennai,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja
54,05/05/2024,Kolkata,Lucknow,Lucknow,Field,235,6,137,10,Kolkata,Sunil Narine,Sunil Narine,Harshit Rana
55,06/05/2024,Hyderabad,Mumbai,Mumbai,Field,173,8,174,3,Mumbai,Suryakumar Yadav,Suryakumar Yadav,Hardik Pandya
56,07/05/2024,Delhi,Rajasthan,Rajasthan,Field,221,8,201,8,Delhi,Kuldeep Yadav,Sanju Samson,Ravichandran Ashwin
